"org_name";"country";"network_name";"description";"extrainfo";"ip_start";"ip_end";"cidr";"block_size";"link"
"SpaceX Starlink";"Nigeria";"STARLINK_10449_LGOSNGA1_IPV4";"SpaceX Starlink";"STARLINK CUSTOMER PREFIX";"102.215.56.0";"102.215.57.255";"102.215.56.0/23";"512";"https://networksdb.io/ips-in-network/102.215.56.0/102.215.57.255"
"SpaceX Starlink";"Japan";"STARLINK-MC-SYD-JP1";"SpaceX Starlink";"Starlink Mc Syd Jp";"103.235.92.0";"103.235.92.255";"103.235.92.0/24";"256";"https://networksdb.io/ips-in-network/103.235.92.0/103.235.92.255"
"SpaceX Starlink";"Japan";"STARLINK-MC-SYD-JP2";"SpaceX Starlink";"Starlink Mc Syd Jp";"103.235.93.0";"103.235.93.255";"103.235.93.0/24";"256";"https://networksdb.io/ips-in-network/103.235.93.0/103.235.93.255"
"SpaceX Starlink";"Japan";"STARLINK-MC-SYD-JP3";"SpaceX Starlink";"Starlink Mc Syd Jp";"103.235.94.0";"103.235.94.255";"103.235.94.0/24";"256";"https://networksdb.io/ips-in-network/103.235.94.0/103.235.94.255"
"SpaceX Starlink";"Japan";"STARLINK-MC-SYD-JP4";"SpaceX Starlink";"Starlink Mc Syd Jp";"103.235.95.0";"103.235.95.255";"103.235.95.0/24";"256";"https://networksdb.io/ips-in-network/103.235.95.0/103.235.95.255"
"SpaceX Starlink";"Australia";"STARLINK-MC-SYDYAUS1-POOL0";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.112.0";"206.83.112.255";"206.83.112.0/24";"256";"https://networksdb.io/ips-in-network/206.83.112.0/206.83.112.255"
"SpaceX Starlink";"Australia";"STARLINK-MC-SYDYAUS1-POOL1";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.113.0";"206.83.113.255";"206.83.113.0/24";"256";"https://networksdb.io/ips-in-network/206.83.113.0/206.83.113.255"
"SpaceX Starlink";"Australia";"STARLINK-MC-SYDYAUS1-POOL2";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.114.0";"206.83.114.255";"206.83.114.0/24";"256";"https://networksdb.io/ips-in-network/206.83.114.0/206.83.114.255"
"SpaceX Starlink";"New Zealand";"STARLINK-MC-SYDYAUS1-POOL3";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.115.0";"206.83.115.255";"206.83.115.0/24";"256";"https://networksdb.io/ips-in-network/206.83.115.0/206.83.115.255"
"SpaceX Starlink";"New Zealand";"STARLINK-MC-SYDYAUS1-POOL4";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.116.0";"206.83.116.255";"206.83.116.0/24";"256";"https://networksdb.io/ips-in-network/206.83.116.0/206.83.116.255"
"SpaceX Starlink";"Australia";"STARLINK-MC-SYDYAUS1-POOL8";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.118.0";"206.83.118.255";"206.83.118.0/24";"256";"https://networksdb.io/ips-in-network/206.83.118.0/206.83.118.255"
"SpaceX Starlink";"Australia";"STARLINK-MC-SYDYAUS1-POOL9";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.119.0";"206.83.119.255";"206.83.119.0/24";"256";"https://networksdb.io/ips-in-network/206.83.119.0/206.83.119.255"
"SpaceX Starlink";"Australia";"STARLINK-MC-SYDYAUS1-POOL10";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.96.0";"206.83.96.255";"206.83.96.0/24";"256";"https://networksdb.io/ips-in-network/206.83.96.0/206.83.96.255"
"SpaceX Starlink";"Australia";"STARLINK-MC-SYDYAUS1-POOL11";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.97.0";"206.83.97.255";"206.83.97.0/24";"256";"https://networksdb.io/ips-in-network/206.83.97.0/206.83.97.255"
"SpaceX Starlink";"Australia";"STARLINK-MC-SYDYAUS1-POOL12";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.98.0";"206.83.98.255";"206.83.98.0/24";"256";"https://networksdb.io/ips-in-network/206.83.98.0/206.83.98.255"
"SpaceX Starlink";"Australia";"STARLINK-MC-SYDYAUS1-POOL13";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.99.0";"206.83.99.255";"206.83.99.0/24";"256";"https://networksdb.io/ips-in-network/206.83.99.0/206.83.99.255"
"SpaceX Starlink";"Australia";"STARLINK-MC-SYDYAUS1-POOL14";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.100.0";"206.83.100.255";"206.83.100.0/24";"256";"https://networksdb.io/ips-in-network/206.83.100.0/206.83.100.255"
"SpaceX Starlink";"New Zealand";"STARLINK-MC-SYDYAUS1-POOL15";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.101.0";"206.83.101.255";"206.83.101.0/24";"256";"https://networksdb.io/ips-in-network/206.83.101.0/206.83.101.255"
"SpaceX Starlink";"New Zealand";"STARLINK-MC-SYDYAUS1-POOL16";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.102.0";"206.83.102.255";"206.83.102.0/24";"256";"https://networksdb.io/ips-in-network/206.83.102.0/206.83.102.255"
"SpaceX Starlink";"New Zealand";"STARLINK-MC-SYDYAUS1-POOL17";"SpaceX Starlink";"Starlink Mc Sydyaus1 Pool";"206.83.103.0";"206.83.103.255";"206.83.103.0/24";"256";"https://networksdb.io/ips-in-network/206.83.103.0/206.83.103.255"
"SpaceX Starlink";"Nigeria";"STARLINK_10698_LGOSNGA1_IPV4";"SpaceX Starlink";"STARLINK CUSTOMER PREFIX";"102.215.58.0";"102.215.58.255";"102.215.58.0/24";"256";"https://networksdb.io/ips-in-network/102.215.58.0/102.215.58.255"
"SpaceX Starlink";"Spain";"STARLINK_5354_MDRDESP1_IPV4";"SpaceX Starlink";"Starlink 5354 Mdrdesp1 Ipv";"145.224.127.0";"145.224.127.255";"145.224.127.0/24";"256";"https://networksdb.io/ips-in-network/145.224.127.0/145.224.127.255"
"SpaceX Starlink";"Germany";"STARLINK_10795_FRNTDEU1_IPV4";"SpaceX Starlink";"Starlink 10795 Frntdeu1 Ipv";"169.155.224.0";"169.155.224.255";"169.155.224.0/24";"256";"https://networksdb.io/ips-in-network/169.155.224.0/169.155.224.255"
"SpaceX Starlink";"Germany";"STARLINK_10796_FRNTDEU1_IPV4";"SpaceX Starlink";"Starlink 10796 Frntdeu1 Ipv";"169.155.225.0";"169.155.225.255";"169.155.225.0/24";"256";"https://networksdb.io/ips-in-network/169.155.225.0/169.155.225.255"
"SpaceX Starlink";"Germany";"STARLINK_10797_FRNTDEU1_IPV4";"SpaceX Starlink";"Starlink 10797 Frntdeu1 Ipv";"169.155.226.0";"169.155.226.255";"169.155.226.0/24";"256";"https://networksdb.io/ips-in-network/169.155.226.0/169.155.226.255"
